year;country;ocean;school_type;parameter_a;parameter_b;null_set_value
2014;CPV;1;2;0.476;138.011;110
2015;CPV;1;2;0.476;138.011;110
2016;CPV;1;2;0.476;138.011;110
2017;CPV;1;2;0.476;138.011;110
2018;CPV;1;2;0.476;138.011;110
2019;CPV;1;2;0.476;138.011;110
2020;CPV;1;2;0.476;138.011;110
2021;CPV;1;2;0.476;138.011;110
2022;CPV;1;2;0.476;138.011;110
2014;CPV;1;3;0.476;138.011;110
2015;CPV;1;3;0.476;138.011;110
2016;CPV;1;3;0.476;138.011;110
2017;CPV;1;3;0.476;138.011;110
2018;CPV;1;3;0.476;138.011;110
2019;CPV;1;3;0.476;138.011;110
2020;CPV;1;3;0.476;138.011;110
2021;CPV;1;3;0.476;138.011;110
2022;CPV;1;3;0.476;138.011;110
2023;ESP;1;1;0.599;122.716;121
2023;ESP;1;2;0.476;138.011;110
2023;ESP;1;3;0.476;138.011;110
2023;ESP;2;1;0.476;138.011;126
2023;ESP;2;2;0.476;138.011;110
2023;ESP;2;3;0.476;138.011;110
2023;FRA;1;1;0.60206;138.829;142.7
2023;FRA;1;2;0.68568;128.525;111.2
2023;FRA;1;3;0.64752;133.745;123
2023;FRA;2;1;0.56406;141.223;140.2
2023;FRA;2;2;0.56406;141.223;125.7
2023;FRA;2;3;0.56406;141.223;133.1
2023;KOR;2;1;0.33235;127.1;120
2023;KOR;2;2;0.33235;127.1;120
2023;KOR;2;3;0.33235;127.1;120
2023;SEN;1;1;0.599;122.716;109
2023;SEN;1;2;0.599;122.716;109
2023;SEN;1;3;0.599;122.716;109
2023;SYC;2;1;0.33235;127.1;120
2023;SYC;2;2;0.33235;127.1;120
2023;SYC;2;3;0.33235;127.1;120
2023;CUW;1;1;0.599;122.716;121
2023;CUW;1;2;0.476;138.011;110
